genus,g__Amanita,g__Apiospora,g__Arachnomyces,g__Arthrocladium,g__Articulospora,g__Aspergillus,g__Aureoboletus,g__Blastocladiella,g__Butyriboletus,g__Candolleomyces,g__Cercospora,g__Cladophialophora,g__Cladosporium,g__Clavulina,g__Clitocybe,g__Colletotrichum,g__Collybia,g__Conidiobolus,g__Coprinellus,g__Cryphonectria,g__Cyclocybe,g__Cystobasidium,g__Edenia,g__Entoloma,g__Entomortierella,g__Filobasidium,g__Fusarium,g__Ganoderma,g__Gongronella,g__Harpochytrium,g__Hygrocybe,g__Ilyonectria,g__Jaminaea,g__Lachancea,g__Lactarius,g__Lactifluus,g__Lanmaoa,g__Lecanicillium,g__Lentinula,g__Leohumicola,g__Lepiota,g__Lepista,g__Lichtheimia,g__Linnemannia,g__Macalpinomyces,g__Macroconia,g__Macrolepiota,g__Madurella,g__Malassezia,g__Marasmius,g__Meira,g__Microconidiobolus,g__Myxotrichum,g__Neoconidiobolus,g__Neonectria,g__Neopestalotiopsis,g__Neurospora,g__Ophiocordyceps,g__Parengyodontium,g__Parmotrema,g__Paxillus,g__Penicilliopsis,g__Penicillium,g__Peniophora,g__Periconia,g__Phellinidium,g__Phialocephala,g__Pholiota,g__Pisolithus,g__Pleurocordyceps,g__Pleurotus,g__Pluteus,g__Pneumocystis,g__Psathyrella,g__Pseudocercospora,g__Pseudofabraea,g__Pseudogymnoascus,g__Pulveroboletus,g__Purpureocillium,g__Rhizoctonia,g__Rhynchobrunnera,g__Russula,g__Saccharomyces,g__Sporisorium,g__Stachybotrys,g__Stropharia,g__Synchytrium,g__Talaromyces,g__Thelephora,g__Thelonectria,g__Tremella,g__Tricholoma,g__Verticillium,g__Volvariella
BB3,0.000569801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84045584,0.063247863,0,0,0,0,0,0.060968661,0,0,0,0.007977208,0,0,0,0.006837607,0,0,0,0.000569801,0,0,0,0,0.001709402,0,0,0,0,0,0.015954416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000569801,0,0,0,0,0,0,0,0,0,0,0,0.001139601,0,0,0
BD3,0,0,0,0.00224118,0,0,0,0.000289184,0,0,7.22961E-05,0,0.000578369,0,0,0,0,0.048655292,0.000795257,0,0,0,0,0,0,0,0.933198381,0,0.000433777,0,0,0,0,0,0,0,0,0,7.22961E-05,0.000506073,0,0,0,0,0.000433777,0,0,0,0,0.008314054,0,0.000578369,0,0,0,7.22961E-05,0,0,0,0,0,7.22961E-05,0,0,0,7.22961E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.003397918,0,0,0,0.000144592,0,0,0,0,0,0,0,0,0,7.22961E-05,0
BN3,0.00686606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005981795,0.014824447,0,0,0.002392718,0,0,0,0.008738622,0.934980494,0.00213264,0,0,0,0,0.004889467,0.000104031,0,0,0,0,0.000208062,0,0.000988296,0,0,0,0.000312094,0,0.000104031,0,0,0.01243173,0,0,0,0,0,0.000364109,0,0,0,0,0,0,0,0,0,0.000364109,0,0,0,0,0,0,0,0,0,0,0,0.004161248,0,0.000104031,0,5.20156E-05,0,0,0,0,0,0,0,0,0,0,0,0
CS3,0.026278922,0,0,0.005264275,0,0,0,0.000339631,0.001018892,0,0,0,0,8.49077E-05,8.49077E-05,0,0,0.011165358,0.011420081,0,0,0.003778391,0,0,0.001655699,0.004075568,0.883591594,0.008448312,0,0,0,0,8.49077E-05,0,0.000127361,0,0,0,0.008830397,0,0.012693696,0,0,0.000169815,0.007726597,0,0.000297177,0,0,0.00764169,0,8.49077E-05,0,0,0,0,0,0,0,0,0,0,0,0.000254723,0,0.001231161,0.000212269,0,0,0,0.000169815,0.000212269,0,0,0,0,0,8.49077E-05,0.002589684,0,0,4.24538E-05,0,8.49077E-05,4.24538E-05,0,0,0,0.000212269,0,0,0,0,0
CT3,2.68958E-05,0,0,0.004343675,1.34479E-05,5.37916E-05,0,0,0,0,2.68958E-05,0,4.03437E-05,0,0,0,0,1.34479E-05,0,0,0,0,0,0,0,0.001896155,0.986417611,0.000954802,0,0,0,0,1.34479E-05,0,1.34479E-05,0,0,0,0,2.68958E-05,0,0,0,0,0.001183416,0,0,0,0.000416885,1.34479E-05,0.00025551,0,0,0,0,0,0,0,0,0,0,0,5.37916E-05,0,0,1.34479E-05,0,0,0,2.68958E-05,0,1.34479E-05,0,0,0,0,0,0,0.004061269,0,0,2.68958E-05,0,8.06875E-05,0,1.34479E-05,0,0,0,0,0,0,0,0
FD3,0.010547639,0,0,0.000139704,0,0.000209556,0,0,0,0.00034926,0,0,0.000279408,0.000139704,0.000279408,0,0.003003632,0.040164851,0.03723107,0.000279408,0,0,0,0,0.002863928,0.060841017,0.792679519,0.000977927,0.000209556,0,0,0,0,0,0.002025706,0,0,0,0.000628667,0,0.000209556,0.000558815,0,0.008452082,0.004330819,0,0.004330819,0,0,0.002025706,0,0.001676446,0.011385862,0,0,0,0,0,0,0.000419111,0,0.000139704,0,0.000209556,0,0.001955854,0,0,0,0,0.000139704,0.001187483,0,0,0,0,0,0,0.005518301,0,0,0.000628667,0,0,0,0,0,0.003981559,0,0,0,0,0,0
FJ3,0.000185908,0,0.000247878,0.000309847,0,0.001177418,0.000123939,0,0,0,6.19694E-05,0.000123939,0.000867571,0,6.19694E-05,0,0.001425296,0.007374357,0.002230898,0,0,0,0,0,0,0.012765694,0.941996654,0,0,0,0.000185908,0,0.001859082,0.000309847,0.000185908,0,6.19694E-05,0,0,0.000247878,0,0,0,6.19694E-05,0.001487265,0,6.19694E-05,0.000123939,0,0.005701184,0.001301357,0.000247878,6.19694E-05,0,0,0,0,0,0.000123939,0,6.19694E-05,6.19694E-05,0,0,0.000123939,6.19694E-05,0,0,0,0.000371816,0,0,0,0,0,0,6.19694E-05,0.000185908,0.003470286,0,0,6.19694E-05,0,0.000123939,0,0,0.000123939,0.013819173,0,0,0,0,6.19694E-05,0.000433786
FL3,0.033300247,0,0,6.40389E-05,0,6.40389E-05,0,0,6.40389E-05,0,0,0,0.000800487,0,0,0,0.002945791,0.000416253,0.00243348,6.40389E-05,0,0,0.000288175,0,0.001504915,0.000160097,0.943357561,6.40389E-05,0,0,0,0,0,0,0.000128078,0,0,0,3.20195E-05,0,0,0,0,0.000352214,0.000480292,3.20195E-05,6.40389E-05,0,0,0.000128078,0,0,0,0,0,0,0,0,0,0,0,6.40389E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012679709,0,0,0.000160097,0,3.20195E-05,0,0,3.20195E-05,0.000224136,0,6.40389E-05,0,0,0,0
JTW3,0.001503759,0,0,0,0,0,0,0,0,0,0,0,0.000501253,0,0,0,0,0,0.001002506,0,0,0.000501253,0,0,0,0.545363409,0.432581454,0,0,0,0,0,0.011528822,0,0,0,0,0,0.001503759,0,0.002005013,0,0,0,0.000501253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001002506,0,0,0,0,0,0,0,0,0,0,0,0.000501253,0,0,0.001503759,0,0,0,0,0,0,0,0,0,0,0,0,0
LH3,0,0,0,0,0,0.000416493,0,0,0,0,0,0,0,0,0,0,0,0,0.025406081,0,0,0,0,0,0.002498959,0.529362766,0.375676801,0.002915452,0,0,0.000416493,0,0.000416493,0,0.002498959,0,0,0.000832986,0,0,0.002915452,0,0,0,0.012911287,0,0.000416493,0,0,0,0,0,0,0,0,0.036234902,0,0,0,0,0,0,0,0,0.000832986,0.001249479,0,0,0.000832986,0,0,0,0,0,0,0,0,0.000416493,0,0,0,0,0,0,0,0,0,0,0,0,0.003331945,0,0.000416493,0
