genus	BB	BD	BN	CS	CT	FD	FJ	FL	JTW	LH	WS	WZ	XZY	YJC	YW	YY	ZG	ZX	BB2	BD2	BN2	CS2	CT2	FD2	FJ2	FL2	JTW2	LH2	WS2	WZ2	XZY2	YJC2	YW2	YY2	ZG2	ZX2	BB3	BD3	BN3	CS3	CT3	FD3	FJ3	FL3	JTW3	LH3	WS3	WZ3	XZY3	YJC3	YW3	YY3	ZG3	ZX3
g__norank_o__Chloroplast	0	0.000143397	0	2.12274E-05	4.74789E-05	0.000236995	0	0.000763838	0	0	0	4.75489E-05	0	0	0	0	0	0	0.134777377	0.176672625	0.23455635	0.52596622	0.167062717	0.108746929	0.182484267	0.217134495	0.020982482	0.059667721	0.054548317	0.453177615	0.169808651	0.292335061	0.166906582	0.421639287	0.130505904	0.234039153	0.488550388	0.050894085	0.06579029	0.125107649	0.429419731	0.17798677	0.052292088	0.090411901	0.258103448	0.36498719	0.40488127	0.079404928	0.485931109	0.180222192	0.557237243	0.061064391	0.056692401	0.124229478
g__Microseira_Carmichael-Alabama	0	0	0.000670716	0.00080664	0.001392714	1.97496E-05	0	8.18398E-05	2.75976E-05	2.81532E-05	0.001131622	0	0	0	0	0	0	0	0.000564079	0	0	0	0	0	0	0	0	0	0	0	0	0.000490752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000617199	0	0	0	0
g__Pseudanabaena_PCC-7429	0	0	0.000689347	0	0	0	0.000515198	0	0	0	0.002192517	0	0	0	0	0	0	0	0.000300842	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000670108	0	0	0	0.000655705	7.05393E-05	0	0.000365354	0	0.000150341	0.000378122	0	0	0.000768574	0.000540362	0.00060437	0.001576898	0.000480044	0.000328007	0.002886908	0	0.000793409
g__Cyanobium_PCC-6307	0	0	0	0	0	0	0	0	0	0	0	0	0.0002065	0	0	0	0	0	0.003158845	0.040023832	0.129630867	0.181222576	0.028473224	0.013415233	0.013183885	0.105786883	0.003925967	0.024796975	0.005037651	0.036987546	0.029038305	0.046836181	0.033455773	0.014268624	0.027957053	0.026488214	0.390598204	0.012238564	0.206796056	0.103238602	0.159912491	0.098924228	0.025356436	0.10847553	0.286034483	0.158070026	0.025336976	0.047047885	0.141773025	0.147167741	0.039313997	0.122442576	0	0.141348795
g__Nitzschia	0.000269167	0.000238994	0	0.000148592	0	1.97496E-05	0	0.002236953	0.000441562	0.000140766	0.000141453	9.50977E-05	2.58124E-05	0	8.97505E-05	0	0	0	0.012823406	0.00918235	0.010024728	0.003666526	0.017525248	0.0297543	0.003629014	0.008008514	0.121210122	0.017140909	0.014194632	0.004463093	0.007639798	0.012698218	0.008314306	0.014326982	0.004342266	0.010147823	0.003026329	0	0.000217027	0	0	0	0.002513401	0.002125133	0.003793103	0.006148591	0.000270181	0.00288238	0.000689893	0	0.000187433	0.007028995	0	0.001403723
g__Gomphonema	0.01475932	0.003919507	0.081845959	0.010295273	0.004019878	0.004917644	0	0.001227596	0.002566579	0.010613739	0.003324139	0.00042794	0.000825998	0.00036686	0.000897505	0.000131016	0.001025641	0.014998214	3.76053E-05	3.50471E-05	0.003876228	0.000330588	2.1217E-05	9.82801E-05	2.29684E-05	0.00058534	0.000296922	0.000650921	0.000104951	5.34502E-05	7.07389E-05	0.001012177	0.000347464	0.001225526	0	0.000239712	0	0	0	0	0	0	0	0	0.000344828	0	0	0	0	0.002880263	0	0	0	0
g__Fistulifera	0	0	0	4.24547E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000112816	0.000700943	0.002806924	3.00535E-05	0	0.001302211	6.89053E-05	0.000212851	9.8974E-05	0.001239849	0.001390602	2.67251E-05	0.000212217	3.0672E-05	0.000322645	0.003793295	0.000208191	0	0.000252194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Mayamaea	4.48612E-05	0	1.8631E-05	0	4.74789E-05	1.97496E-05	0	8.18398E-05	2.75976E-05	0	0	0	0	0	0	0	0.00022792	0	0.002068291	0.001507027	6.68315E-05	0.000661177	0.00042434	0.001670762	0.001883412	0.000133032	0	0.000991879	0.001101986	0.000534502	0.002971032	0.003711315	0.001513948	0.006156809	0.004966838	0.002197363	0.000201755	0	0	2.60967E-05	0	0	0	0	0.003275862	0	0	0.00041841	0	0	0	0	0	0
g__Navicula	0	0	0	0	0	0.000256744	0	0	0	0	0	0	0	0	0	0	0	0	0.000413658	0.000700943	0.000200495	3.00535E-05	4.2434E-05	0.002383292	0.000229684	0.000159638	0.000395896	0	0.001023273	2.67251E-05	3.53694E-05	0.001165537	0	8.75376E-05	0	0.001198562	0	0	0	0	0	0	0	0	0.00137931	0	0	0	0	0	0	0	0	0
g__Pinnularia	8.97223E-05	4.77989E-05	0.003055483	0.000785413	0	0.000197496	0.000309119	0	0.000165586	2.81532E-05	0.002192517	0	0	0	8.97505E-05	0	0.000151947	0.002975836	0.013124248	0.00098132	0.001849005	0.001682996	0.000190953	0.005135135	0.001125454	0.004416656	0.0144502	0.010476722	0.004434183	0.003901865	0.005553001	0.018556575	0.00590688	0.000787838	0.001457336	0.004834199	0.000756582	0	0	0.00023487	0	0	0	0.000218764	0.004137931	0.001280956	3.00201E-05	0.00227801	0.007293155	0.001302976	0.002530341	0.000282415	0	6.10314E-05
